,customer_id,label
0,0x0003085F2E86484887D3EF669716BB81,False
1,0x0004ECA4895CDB4DADFF4A46F9BBC8EE,False
2,0x0007763F58DAD14E8576471C78973CEC,False
3,0x00080BDE942CFE449238E2C2F2A0C67D,False
4,0x000842A433587E4FA1C7D36487F7031B,False
5,0x0008C0811F770A4784DE75EF26648CD0,False
6,0x000A4D6B1469364EA13DD0DD26301247,False
7,0x000BBF43FA7E1A4D92534A8A890FF169,False
8,0x000CD46FE93D9F4C86BBC6B911C7D7BC,False
9,0x000DA0405B6EA24CB532481B34E8AB13,False
10,0x000E51E421099340BFF60265F6E41029,False
11,0x0014A54125BE0A4EBF3958835D7BE61C,False
12,0x0015E4F5FB92C44DACF67689059FE88F,False
13,0x00160B41F668B446BD542380B3C98671,False
14,0x0017AB8F1D55724AA071F044DD1A058A,False
15,0x00183A7572AFC24CBBCE8CB2638F2A45,False
16,0x0018C7CFCD34714992E539B556C1A1A7,False
17,0x0018FDD45B328540851B3B884B75BA17,False
18,0x0019C57448F1FC49BC75FCC5F048EABF,False
19,0x001B589C0880E240A0C788C9DFD119ED,False
20,0x001B9AC6BE9CCC4AA1695FAB005AE1B7,False
21,0x001BD62CAF83604ABCBEA443973E5610,False
22,0x001E140A5DD60D48A7F2765B6BEEF811,False
23,0x0021FD06DD14C74CA62B8F5ADBAFD335,False
24,0x0024C932F0871A48831995EC4041513A,False
25,0x0025FDD1348AB048A5CE6571E47440BF,False
26,0x00265B04D681DC4AABEDA311CDB0BA39,False
27,0x00289767634FF7409AB7AF8FBA8491AA,False
28,0x002995C998911842A0BEBB459E62AC3C,False
29,0x002C4638ACE567429C810212EEC17E23,False
30,0x002DC4F1CE68C043AE39B562A56DB9BF,False
31,0x002F37C8ED2BC6409B4EDB965949AC23,False
32,0x0030FED64474DA439696A674259A50D6,False
33,0x00311A9BB631414DB63E5CB64D3C210C,False
34,0x003853ED75BEF54B846B20D0FA3F05B1,False
35,0x003B64BC7E90324AB5E84E00F1441BC3,False
36,0x003FD5C4D374124D831F61AD3E426C63,False
37,0x00406ED0FE8F7A478D9415A0F843AE67,False
38,0x0041493567EC4346958B6FF84C93F0AD,False
39,0x0044CE6A47C08E4B8C0DA0A73B011F86,False
40,0x00453806636EFE479067EABA17BB8F06,False
41,0x004584310226904BB144644EA46B993C,False
42,0x004585434A584A458D356B60AA521F89,False
43,0x004595892C141A49B3EC3F7E65833545,False
44,0x004712EC42F78D4FBBF9FDCB7B4B6E94,False
45,0x0048361D097B9D499F99F7477EEA82C9,False
46,0x0049B85E54BEA0468CFD339892E50334,False
